Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_type,owner_type,size,subscribers_count,watchers_count,languages,full_name,distros_present,exclusion_reasons
ecl_core,stonier,"A set of tools and interfaces extending the capabilities of c++ to provide a lightweight, consistent interface with a focus for control programming.",https://github.com/stonier/ecl_core,2883,88,75,14,,Other,True,False,False,False,False,False,,9,390,2012-11-17T12:53:14Z,2,17,0,docs,User,2883,11,88,C++;CMake;Makefile,stonier/ecl_core,humble|jazzy|kilted,inactive_6mo
phidgets_drivers,ros-drivers,ROS drivers for various Phidgets devices,https://github.com/ros-drivers/phidgets_drivers,997,50,62,10,phidgets;ros;ros-driver,Other,True,False,False,False,False,False,,23,399,,0,0,0,,,997,5,50,C++;Python;CMake;Shell,ros-drivers/phidgets_drivers,humble|jazzy|kilted,inactive_6mo
webots_ros2,cyberbotics,Webots ROS 2 packages,https://github.com/cyberbotics/webots_ros2,57524,513,182,50,examples;localization;motion-planning;navigation;robot;robotics;ros;ros2;simulation;slam;webots;webots-ros2,Apache-2.0,True,True,True,True,False,True,good first issue,42,1629,,0,0,0,,,57524,28,513,C;Python;C++;SWIG;Makefile;CMake;Shell;Lua;Dockerfile;Batchfile,cyberbotics/webots_ros2,humble|jazzy|kilted,inactive_6mo
rmf_internal_msgs,open-rmf,Messages used by the core RMF software,https://github.com/open-rmf/rmf_internal_msgs,383,14,28,0,,Apache-2.0,True,True,False,False,False,True,good first issue,16,170,,0,0,0,,,383,7,14,CMake,open-rmf/rmf_internal_msgs,humble|jazzy|kilted,inactive_6mo
tuw_msgs,tuw-robotics,non common ROS messages used by tuw pkgs ,https://github.com/tuw-robotics/tuw_msgs,447,6,12,0,,Other,True,False,False,False,False,False,,14,289,,0,0,0,,,447,11,6,C++;CMake,tuw-robotics/tuw_msgs,humble|jazzy|kilted,inactive_6mo
game_controller_spl,ros-sports,ROS 2 Package to interface RoboCup Standard Platform League's Game Controller.,https://github.com/ros-sports/game_controller_spl,197,4,3,1,,Apache-2.0,True,True,False,False,False,True,good first issue,3,117,,0,0,0,,,197,1,4,Python;CMake,ros-sports/game_controller_spl,humble|jazzy|kilted,inactive_6mo
create3_sim,iRobotEducation,ROS 2 Simulation for the iRobot® Create® 3 Educational Robot,https://github.com/iRobotEducation/create3_sim,2327,126,74,41,,BSD-3-Clause,True,False,False,True,False,True,good first issue,19,138,,0,0,0,,,2327,14,126,C++;Python;CMake;QML,iRobotEducation/create3_sim,humble|jazzy,inactive_6mo
marti_messages,swri-robotics,Supplemental ROS messages for MARTI,https://github.com/swri-robotics/marti_messages,327,7,22,0,,BSD-3-Clause,True,False,False,False,False,False,,8,188,,0,0,0,,,327,11,7,CMake;C++,swri-robotics/marti_messages,humble|jazzy|kilted,inactive_6mo
mocap4r2,MOCAP4ROS2-Project,,https://github.com/MOCAP4ROS2-Project/mocap4r2,193,3,18,3,,Apache-2.0,True,False,False,False,False,True,good first issue,4,65,,0,0,0,,,193,3,3,C++;Python;CMake,MOCAP4ROS2-Project/mocap4r2,humble,inactive_6mo
astuff_sensor_msgs,astuff,A set of messages specific to each sensor supported by AutonomouStuff.,https://github.com/astuff/astuff_sensor_msgs,408,49,43,1,ros;ros-msgs;ros-packages;ros2;sensors,MIT,True,False,False,False,False,True,good first issue,15,193,,0,0,0,,,408,5,49,CMake,astuff/astuff_sensor_msgs,humble|jazzy|kilted,inactive_6mo
ecl_lite,stonier,The ecl-lite stack includes packages with few dependencies on either system or c++ functionality. This makes it ideal for very embedded builds where many of the usual mechanisms are unavailable.  ,https://github.com/stonier/ecl_lite,304,8,28,8,,Other,True,False,False,False,False,False,,7,128,,0,0,0,,,304,3,8,C++;CMake,stonier/ecl_lite,humble|jazzy|kilted,inactive_6mo
r2r_spl,ros-sports,,https://github.com/ros-sports/r2r_spl,121,2,1,5,,Apache-2.0,True,True,False,False,False,True,good first issue,2,68,,0,0,0,,,121,1,2,Python;CMake,ros-sports/r2r_spl,humble|jazzy|kilted,inactive_6mo
turtlebot3_manipulation,ROBOTIS-GIT,OpenManipulator with TurtleBot3 packages,https://github.com/ROBOTIS-GIT/turtlebot3_manipulation,9638,83,46,5,arduino;dynamixel;gazebo;manipultor;moveit;openmanipultor;package;robot;robotis;ros;turtlebot;turtlebot3,Apache-2.0,True,True,False,False,False,False,,6,304,,0,0,0,,,9638,12,83,C++;Python;CMake;C;Lua,ROBOTIS-GIT/turtlebot3_manipulation,humble|jazzy|kilted,inactive_6mo
moveit_resources,ros-planning,"URDFs, meshes, and config packages for MoveIt testing",https://github.com/moveit/moveit_resources,37181,99,139,24,,,True,False,False,False,False,False,,30,178,,0,0,0,,,37181,20,99,Python;CMake,moveit/moveit_resources,humble|jazzy|kilted,inactive_6mo
turtlebot3_applications,ROBOTIS-GIT,Applications for TurtleBot3,https://github.com/ROBOTIS-GIT/turtlebot3_applications,6875,105,51,0,dynamixel;gazebo;mobile;navigation;package;robot;robotis;ros;slam;turtlebot;turtlebot3,,True,True,False,False,False,False,,11,441,,0,0,0,,,6875,20,105,Python;C++;CMake,ROBOTIS-GIT/turtlebot3_applications,humble|jazzy,inactive_6mo
turtlebot4_simulator,turtlebot,TurtleBot 4 Simulator packages,https://github.com/turtlebot/turtlebot4_simulator,126,98,58,7,,Apache-2.0,True,False,False,True,False,True,good first issue,7,101,,0,0,0,,,126,14,98,Python;C++;QML;CMake,turtlebot/turtlebot4_simulator,humble|jazzy,inactive_6mo
create3_examples,iRobotEducation,Example nodes to drive the iRobot® Create® 3 Educational Robot,https://github.com/iRobotEducation/create3_examples,187,59,18,18,,BSD-3-Clause,True,False,False,False,False,True,good first issue,6,104,,0,0,0,,,187,10,59,C++;Python;CMake,iRobotEducation/create3_examples,humble|jazzy,inactive_6mo
variants,ros2,Variants for ROS 2 (implemented as ament packages),https://github.com/ros2/variants,87,10,12,0,,Apache-2.0,True,False,False,False,False,True,good first issue,18,54,,0,0,0,,,87,19,10,CMake,ros2/variants,humble|jazzy|kilted,inactive_6mo
ewellix_lift_common,clearpathrobotics,"Ewellix TLT and UR lifts description, MoveIt config, and ROS interfaces",https://github.com/clearpathrobotics/ewellix_lift_common,2934,1,0,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,2,46,,0,0,0,,,2934,0,1,Python;CMake,clearpathrobotics/ewellix_lift_common,humble|jazzy,inactive_6mo
joystick_drivers,ros-drivers,ROS drivers for joysticks,https://github.com/ros-drivers/joystick_drivers,771,258,320,47,,,True,False,False,False,False,False,,37,540,,0,0,0,,,771,16,258,C++;Python;CMake;C,ros-drivers/joystick_drivers,humble|jazzy|kilted,inactive_6mo
soccer_interfaces,ros-sports,A set of packages which contain common soccer interface files,https://github.com/ros-sports/soccer_interfaces,11185,10,3,0,,Apache-2.0,True,False,False,False,False,True,good first issue,4,124,,0,0,0,,,11185,5,10,CMake,ros-sports/soccer_interfaces,humble|jazzy|kilted,inactive_6mo
bond_core,ros,Maintains a bond (i.e. heart beat ) between ROS nodes and provides feedback when the bond is broken,https://github.com/ros/bond_core,2811,42,72,21,,,True,False,False,False,False,False,,25,582,,0,0,0,,,2811,14,42,C++;Python;CMake,ros/bond_core,humble|jazzy|kilted,inactive_6mo
crazyswarm2,IMRCLab,A Large Quadcopter Swarm,https://github.com/IMRCLab/crazyswarm2,64245,202,108,54,,MIT,True,False,False,False,False,True,good first issue,30,1309,,0,0,0,,,64245,6,202,Python;C++;Makefile;CMake,IMRCLab/crazyswarm2,humble|jazzy,is_fork
create_robot,AutonomyLab,ROS driver for iRobot Create 1 and 2.,https://github.com/AutonomyLab/create_robot,817,219,176,24,create;driver;hacktoberfest;irobot;ros,BSD-3-Clause,True,False,False,False,False,False,,11,183,,0,0,0,,,817,21,219,C++;CMake,AutonomyLab/create_robot,humble,inactive_6mo
point_cloud_transport_plugins,ros-perception,Transport plugins for point_cloud_transport.,https://github.com/ros-perception/point_cloud_transport_plugins,462,7,5,4,,BSD-3-Clause,True,True,False,False,False,True,good first issue,9,100,,0,0,0,,,462,1,7,C++;CMake,ros-perception/point_cloud_transport_plugins,humble|jazzy|kilted,is_fork
gazebo_ros_pkgs,ros-simulation,"Wrappers, tools and additional API's for using ROS with Gazebo",https://github.com/ros-simulation/gazebo_ros_pkgs,6829,847,786,391,,,True,True,False,False,False,False,,82,1010,,0,0,0,,,6829,44,847,C++;Python;CMake;Shell;Batchfile,ros-simulation/gazebo_ros_pkgs,humble,archived;inactive_6mo
microstrain_inertial,LORD-MicroStrain,ROS driver for all of MicroStrain's current G and C series products. To learn more visit,https://github.com/LORD-MicroStrain/microstrain_inertial,6133,129,98,29,imu;inertial-navigation-systems;inertial-sensors;ins;microstrain;mip;robotics;ros;ros-noetic;ros2-foxy;ros2-humble;ros2-rolling;slam;slam-algorithms,,True,False,False,False,False,True,good first issue,24,487,,0,0,0,,,6133,8,129,CMake;Makefile;C++;Python;Shell,LORD-MicroStrain/microstrain_inertial,humble|jazzy|kilted,is_fork
turtlebot3_home_service_challenge,ROBOTIS-GIT,Turtlebot3 Home Service Challenge(with OpenManipulator X),https://github.com/ROBOTIS-GIT/turtlebot3_home_service_challenge,245,12,10,0,,Apache-2.0,True,False,False,False,False,False,,8,100,,0,0,0,,,245,5,12,Python;C++;CMake,ROBOTIS-GIT/turtlebot3_home_service_challenge,humble|jazzy,inactive_6mo
turtlebot4_robot,turtlebot,TurtleBot 4 Robot packages,https://github.com/turtlebot/turtlebot4_robot,215,34,24,4,,Apache-2.0,True,False,False,True,False,True,good first issue,7,131,,0,0,0,,,215,10,34,C++;Python;CMake,turtlebot/turtlebot4_robot,humble|jazzy,inactive_6mo
transport_drivers,ros-drivers,A set of ROS2 drivers for transport-layer protocols.,https://github.com/ros-drivers/transport_drivers,175,116,77,22,ros2;transport-layer;transport-layer-protocol,Apache-2.0,True,True,False,False,False,True,good first issue,12,91,,0,0,0,,,175,11,116,C++;CMake;Python,ros-drivers/transport_drivers,humble|jazzy|kilted,inactive_6mo
dolly,chapulina,"🤖🐑 It's a sheep, it's a dolly, it's a following robot. Dolly was born to be cloned.",https://github.com/chapulina/dolly,72023,241,63,10,differential-drive;follower;gazebo;hacktoberfest;ignition-gazebo;ignition-robotics;robot;robotics;robotics-simulation;ros;ros2;sheep,Apache-2.0,True,False,False,False,False,True,good first issue,4,39,,0,0,0,,,72023,5,241,C++;Python;GLSL;CMake;Shell,chapulina/dolly,humble|jazzy|kilted,inactive_6mo
