Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_type,owner_type,size,subscribers_count,watchers_count,languages,full_name,distros_present,exclusion_reasons
autoware_core,autowarefoundation,,https://github.com/autowarefoundation/autoware_core,65997,155,116,75,3d-map;autonomous-driving;autonomous-vehicles;autoware;calibration;planner;ros;ros2;self-driving-car,Apache-2.0,True,True,True,True,False,False,,62,596,2021-11-22T02:24:52Z,1,5,0,docs,Organization,65997,9,155,C++;Python;CMake,autowarefoundation/autoware_core,humble,
navigation2,ros-planning,ROS 2 Navigation Framework and System,https://github.com/ros-navigation/navigation2,116699,3909,1721,134,navigation;robotics;ros2,Other,True,True,False,True,False,True,good first issue,341,3452,2018-06-04T20:08:22Z,1,3,0,docs,Organization,116699,64,3909,C++;Python;CMake;C;CSS;Dockerfile;Shell;Jupyter Notebook;HTML,ros-navigation/navigation2,humble|jazzy|kilted,
moveit2,ros-planning,:robot: MoveIt for ROS 2,https://github.com/moveit/moveit2,93682,1671,707,309,,BSD-3-Clause,True,True,True,True,False,True,good first issue,311,9458,2011-10-12T03:01:20Z,11,191,0,docs,Organization,93682,44,1671,C++;C;Python;CMake;Shell;Dockerfile;TeX;NASL;HTML;GDB,moveit/moveit2,humble|jazzy|kilted,
etsi_its_messages,ika-rwth-aachen,ROS / ROS 2 Support for ETSI ITS Messages for V2X Communication,https://github.com/ika-rwth-aachen/etsi_its_messages,25632,75,23,7,etsi;ros;ros2;v2x,MIT,True,False,False,False,False,True,good first issue,13,1464,2022-09-03T17:18:22Z,2,4,0,code,Organization,25632,9,75,C;C++;Python;Rust;CMake;Jinja;Dockerfile;Shell,ika-rwth-aachen/etsi_its_messages,humble|jazzy|kilted,
ament_lint,ament,,https://github.com/ament/ament_lint,3281,47,127,97,,Apache-2.0,False,True,False,False,False,True,good first issue,64,545,2014-05-31T00:35:27Z,1,202,0,code,Organization,3281,17,47,Python;C;CMake;C++,ament/ament_lint,humble|jazzy|kilted,
ros2_controllers,ros-controls,Generic robotic controllers to accompany ros2_control,https://github.com/ros-controls/ros2_controllers,13962,669,453,130,ros;ros2;ros2-control;ros2-controllers;ros2-humble;ros2-jazzy;ros2-kilted;ros2-rolling,Apache-2.0,True,False,False,False,False,True,good first issue,139,1004,2017-09-09T17:12:13Z,1,1,0,docs,Organization,13962,22,669,C++;CMake;Python,ros-controls/ros2_controllers,humble|jazzy|kilted,
aerostack2,aerostack2,Aerostack2 is a ROS 2 framework developed to create autonomous multi-aerial-robots systems in an easy and powerful way.,https://github.com/aerostack2/aerostack2,65523,287,69,77,aerial-robotics;drones;robotics;ros2;swarm-robotics;uavs,BSD-3-Clause,True,True,True,True,False,True,good first issue,21,2073,2022-12-09T10:04:55Z,300,64609,0,docs,Organization,65523,9,287,C++;Python;Jinja;CMake;Shell;Dockerfile;Batchfile;Makefile,aerostack2/aerostack2,humble,
rosbag2,ros2,,https://github.com/ros2/rosbag2,8482,390,295,106,,Apache-2.0,True,True,False,False,False,True,good first issue,126,937,2018-03-29T14:54:58Z,1,1,0,docs,Organization,8482,32,390,C++;Python;CMake,ros2/rosbag2,humble|jazzy|kilted,
ament_cmake,ament,Supporting CMake packages for working with ament,https://github.com/ament/ament_cmake,2083,121,143,77,,Apache-2.0,False,True,False,False,False,True,good first issue,64,561,2014-05-19T04:03:18Z,1,202,0,code,Organization,2083,18,121,CMake;Python;C;Batchfile;C++;Shell,ament/ament_cmake,humble|jazzy|kilted,
examples,ros2,Example packages for ROS 2,https://github.com/ros2/examples,1726,887,354,22,,Apache-2.0,True,True,False,False,False,True,good first issue,47,577,2014-07-16T17:12:26Z,7,212,0,docs,Organization,1726,43,887,C++;Python;CMake;C,ros2/examples,humble|jazzy|kilted,
mola,MOLAorg,A Modular Optimization framework for Localization and mApping (MOLA),https://github.com/MOLAorg/mola,4530,860,124,29,computer-vision;cxx;cxx17;datasets;graph-slam;lidar;lidar-point-cloud;localization;mobile-robots;slam;toolkit;visual-slam,Other,True,False,False,False,False,False,,3,1527,2018-11-05T22:04:03Z,3,685,0,docs,Organization,4530,29,860,C++;Python;CMake;C;Dockerfile;MATLAB;Shell,MOLAorg/mola,humble|jazzy|kilted,
